pid,video,order,exint2,valence
44256,5,2,0.285017,-0.0245417
44256,3,3,0.5703724,-0.0357218
44256,2,4,0.6947717,-0.05214
44256,4,5,1,-0.0348367
44766,1,1,0,-0.0453477
44767,1,1,0,0.0876446
45284,1,1,0.2381268,-0.0039633
45284,2,2,0.3625261,-0.0019375
45284,5,3,0.4094163,-0.0198472
45284,4,4,0.7146446,-0.0151357
45284,3,5,1,0.0042991
47970,2,1,0.1243993,-0.0252207
47970,3,2,0.4097547,-0.0086174
47970,5,3,0.4566449,-0.1357715
47970,4,4,0.7618732,-0.1310599
47970,1,5,1,-0.2314214
48079,1,1,0.2381268,-0.0423837
48079,5,2,0.285017,-0.0062455
48079,4,3,0.5902454,-0.0088654
48079,2,4,0.7146446,0.2298157
48079,3,5,1,0.1024419
48265,1,1,0,-0.0706732
48841,1,1,0,-0.2740539
51583,2,1,0.1243993,0.0752224
51583,4,2,0.4296276,-0.0481119
51583,3,3,0.714983,0.0084
51583,5,4,0.7618732,-0.0547469
51583,1,5,1,0.5032344
52157,4,1,0.3052283,0.1538353
52157,2,2,0.4296276,0.2024261
52157,1,3,0.6677544,0.116481
52157,5,4,0.7146446,0.1472003
52157,3,5,1,0.1386336
52477,4,1,0.3052283,-0.1499086
52477,2,2,0.4296276,-0.0434299
52477,1,3,0.6677544,-0.0859972
52477,5,4,0.7146446,-0.1565436
52477,3,5,1,-0.027682
52567,5,1,0.0468902,-0.0393367
52567,2,2,0.1712895,-0.0102556
52567,3,3,0.4566449,-0.0079643
52567,1,4,0.6947717,-0.0168459
52567,4,5,1,-0.055838
58697,2,1,0.1243993,-0.3647519
58697,4,2,0.4296276,0.0523529
58697,3,3,0.714983,
58697,5,4,0.7618732,0.1220809
58697,1,5,1,-0.1107349
59115,2,1,0.1243993,-0.0171308
59115,4,2,0.4296276,-0.0184336
59115,3,3,0.714983,-0.0154389
59115,5,4,0.7618732,-0.0250686
59115,1,5,1,-0.0178564
59606,4,1,0.3052283,-0.0651493
59606,2,2,0.4296276,-0.052875
59606,3,3,0.714983,-0.0703353
59606,1,4,0.9531097,-0.0562766
59606,5,5,1,-0.0770863
60198,1,4,0.9531097,-0.0459292
60754,2,1,0.1243993,-0.1049471
60754,3,2,0.4097547,-0.1190056
60754,5,3,0.4566449,-0.20327
60754,4,4,0.7618732,-0.1985585
60754,1,5,1,-0.0540451
61259,1,1,0,-0.1370233
62925,3,1,0.2853554,-0.0556143
62925,4,2,0.5905837,-0.0347686
62925,2,3,0.714983,-0.1433579
62925,1,4,0.9531097,-0.2345172
62925,5,5,1,-0.0467056
63441,1,1,0,-0.1373847
63517,1,1,0,-0.0954298
63994,1,1,0,0.0631881
64993,1,1,0,-0.0550665
66475,4,1,0.3052283,-0.1921828
66475,2,2,0.4296276,-0.0849592
66475,3,3,0.714983,-0.1335372
66475,1,4,0.9531097,-0.2386275
66475,5,5,1,-0.2041198
67763,5,1,0.0468902,0.0277366
67763,2,2,0.1712895,0.1523823
67763,3,3,0.4566449,0.0029076
67763,1,4,0.6947717,0.0129754
67763,4,5,1,0.0393718
68234,1,1,0,-0.1329055
71837,1,1,0,-0.004353
73978,2,1,0.1243993,0.2046649
73978,3,2,0.4097547,0.0658681
73978,5,3,0.4566449,-0.0551122
73978,4,4,0.7618732,-0.0504007
73978,1,5,1,0.0389717
73992,4,1,0.3052283,-0.0360097
73992,2,2,0.4296276,-0.0300792
73992,1,3,0.6677544,-0.025854
73992,5,4,0.7146446,-0.0426447
73992,3,5,1,-0.0104565
74316,1,1,0.6947717,
77733,2,1,0.1243993,
77733,3,2,0.4097547,-0.2371032
77733,5,3,0.4566449,-0.2795061
77733,4,4,0.7618732,-0.2747947
77733,1,5,1,
77815,1,1,0.6947717,-0.1348814
77861,1,1,0.6947717,-0.020584
78009,2,1,0.1243993,-0.1059349
78009,4,2,0.4296276,-0.0969053
78009,3,3,0.714983,-0.0267193
78009,5,4,0.7618732,-0.1035403
78009,1,5,1,-0.1415768
79135,1,1,0.2381268,-0.0384215
79135,5,2,0.285017,0.0527366
79135,3,3,0.5703724,-0.0032685
79135,2,4,0.6947717,0.1392283
79135,4,5,1,0.0748589
79868,4,1,0.3052283,-0.0162074
79868,2,2,0.4296276,-0.1285281
79868,3,3,0.714983,-0.0019088
79868,1,4,0.9531097,0.016454
79868,5,5,1,-0.0281444
80376,1,1,0.2381268,0.0699021
80376,5,2,0.285017,0.0842833
80376,3,3,0.5703724,0.0145933
80376,2,4,0.6947717,0.2763717
80376,4,5,1,0.1196391
82423,1,1,0,-0.4647901
82660,1,1,0,-0.0100716
83183,1,1,0.6947717,-0.5978764
83570,2,1,0.1243993,-0.0589221
